id,store_id,product_category,date,baseline_expected,actual_units,revenue,returns_units,stock_available,event_id,created_at
1,2,Traditional Wear,2026-07-26,1056.5,1353.3,1707184.03,104.2,1710.0,14.0,2026-09-05 07:12:52.793976
2,7,Traditional Wear,2026-07-29,1051.6,1074.6,1615352.88,44.4,1246.2,,2026-09-05 07:12:52.793976
3,12,Casual Wear,2026-07-25,968.9,955.1,1580962.15,45.8,1171.7,,2026-09-05 07:12:52.793976
4,3,Women's Wear,2026-08-18,1111.5,1199.8,1506525.88,53.8,1624.8,,2026-09-05 07:12:52.793976
5,5,Accessories,2026-07-28,384.8,409.4,510636.48,22.4,527.5,,2026-09-05 07:12:52.793976
6,14,Men's Wear,2026-07-10,930.4,989.8,1214974.18,50.9,1174.7,,2026-09-05 07:12:52.793976
7,14,Women's Wear,2026-08-30,1145.8,1062.6,1378821.75,61.4,1382.5,,2026-09-05 07:12:52.793976
8,15,Footwear,2026-07-22,387.6,396.1,515992.81,30.3,455.1,,2026-09-05 07:12:52.793976
9,5,Footwear,2026-08-11,679.8,739.1,1227636.34,31.6,995.2,15.0,2026-09-05 07:12:52.793976
10,6,Kids Wear,2026-07-15,430.5,445.5,786639.77,37.3,532.1,,2026-09-05 07:12:52.793976
11,8,Kids Wear,2026-07-25,834.3,845.7,1392862.31,56.6,1119.8,,2026-09-05 07:12:52.793976
12,15,Casual Wear,2026-08-08,736.5,749.1,1347273.25,49.0,844.4,,2026-09-05 07:12:52.793976
13,14,Traditional Wear,2026-09-01,1057.3,1033.2,1478364.95,72.1,1281.6,,2026-09-05 07:12:52.793976
14,9,Accessories,2026-08-19,534.9,508.8,645530.36,42.9,674.3,,2026-09-05 07:12:52.793976
15,11,Men's Wear,2026-07-17,753.5,681.9,1176626.47,36.3,852.5,,2026-09-05 07:12:52.793976
16,9,Traditional Wear,2026-08-24,1450.2,1491.4,2361437.57,105.1,1708.9,,2026-09-05 07:12:52.793976
17,3,Casual Wear,2026-07-18,1169.6,1224.7,1828677.25,55.8,1480.5,,2026-09-05 07:12:52.793976
18,13,Men's Wear,2026-07-13,538.9,524.6,808101.27,23.0,692.2,,2026-09-05 07:12:52.793976
19,2,Accessories,2026-07-14,340.9,323.2,419861.42,21.5,414.3,,2026-09-05 07:12:52.793976
20,15,Casual Wear,2026-08-22,813.6,747.1,1216106.51,44.8,972.4,,2026-09-05 07:12:52.793976
21,8,Casual Wear,2026-08-12,1366.2,1376.6,2109437.02,95.6,1517.2,,2026-09-05 07:12:52.793976
22,11,Traditional Wear,2026-07-21,1042.4,1045.8,1794364.02,45.5,1225.1,,2026-09-05 07:12:52.793976
